name,address,lat,lng,wifi,allHours,drive,hundred,morning,barista,birthday,playRand,adventure,parking
金沢ラパーク店,石川県金沢市西泉４－１１,36.550839809,136.63237132,1,0,0,0,0,0,0,0,0,1
金沢アルプラザ店,石川県金沢市諸江町３０－１,36.5910693264,136.643819867,0,0,0,0,0,0,0,0,0,1
金沢西インター店,石川県金沢市森戸２－１７９－１,36.5565780277,136.598804639,1,0,1,0,1,0,0,0,0,1
イオンタウン羽咋店,石川県羽咋市石野町イ－７,36.8949072414,136.802128128,1,0,1,0,1,0,0,0,0,1
イオン金沢店,石川県金沢市福久２－５８,36.6170717091,136.681715774,0,0,0,0,0,0,0,0,0,1
金沢鞍月店,石川県金沢市戸水町２－８５,36.6021149399,136.619571875,1,0,1,0,1,0,0,0,0,1
松任フェアモール店,石川県白山市幸明町１９１,36.5181797316,136.578011015,1,0,1,0,1,0,0,0,0,1
イオン杜の里店,石川県金沢市もりの里１－７０,36.5516533728,136.689723417,1,0,0,0,0,0,0,0,0,1
津幡アルプラザ店,石川県河北郡津幡町北中条１－８,36.6599603333,136.725219415,1,0,1,0,1,0,0,0,0,1
金沢田上店,石川県金沢市田上本町４－２０１,36.5407955308,136.692443871,1,0,1,0,1,0,0,0,0,1
金沢有松店,石川県金沢市有松４－１０－１０,36.5393198618,136.636696101,1,0,1,0,1,0,0,1,0,1
内灘店,石川県河北郡内灘町鶴ケ丘５丁目１－３５０,36.6454346168,136.640712769,1,0,1,0,1,0,0,0,0,1
小松粟津店,石川県小松市符津町タ１１４,36.3604026161,136.42910636,1,0,1,0,1,0,0,0,0,1
野々市新庄店,石川県野々市市新庄３－６,36.5027381978,136.611898318,1,0,1,0,1,0,0,0,0,1
イオンモールかほく店,石川県かほく市内日角タ２５,36.7092220864,136.701652934,1,0,0,0,0,0,0,0,0,1
小松店,石川県小松市有明町７３－５,36.399309946,136.458074813,1,0,1,1,1,0,0,0,0,1
福増町店,石川県金沢市福増町南１３０５番外,36.5640622622,136.580616524,1,0,1,1,1,1,0,0,1,1
８号線福井店,福井県福井市北四ツ居町６０４,36.0713989208,136.243577815,1,1,1,0,1,0,1,1,1,1
敦賀店,福井県敦賀市呉竹町１－１７－１７,35.6463611795,136.061275893,1,0,1,0,1,0,0,0,0,1
武生シピィ店,福井県越前市新町２－１７－２,35.9061724404,136.153955739,1,1,1,1,1,0,1,1,1,1
